clip_id,label,annotated_at
VID_1_001_C00,E,21-05-2026 15:49
VID_1_001_C01,E,21-05-2026 15:49
VID_1_001_C02,E,21-05-2026 15:53
VID_1_001_C03,E,21-05-2026 16:05
VID_1_001_C04,E,21-05-2026 16:05
VID_1_001_C05,E,21-05-2026 16:05
VID_1_002_C00,E,21-05-2026 16:05
VID_1_002_C01,E,21-05-2026 16:05
VID_1_002_C02,E,21-05-2026 16:05
VID_1_002_C03,E,21-05-2026 16:05
VID_1_002_C04,N,21-05-2026 16:06
VID_1_002_C05,E,21-05-2026 16:07
VID_1_003_C00,E,21-05-2026 16:08
VID_1_003_C01,E,21-05-2026 16:08
VID_1_003_C02,E,21-05-2026 16:08
VID_1_003_C03,E,21-05-2026 16:08
VID_1_003_C04,E,21-05-2026 16:08
VID_1_003_C05,E,21-05-2026 16:09
VID_1_004_C00,E,21-05-2026 16:11
VID_1_004_C01,N,21-05-2026 16:11
VID_1_004_C02,N,21-05-2026 16:12
VID_1_004_C03,N,21-05-2026 16:12
VID_1_004_C04,N,21-05-2026 16:12
VID_1_004_C05,N,21-05-2026 16:13
VID_1_005_C00,E,21-05-2026 16:14
VID_1_007_C00,E,21-05-2026 16:15
VID_1_007_C01,E,21-05-2026 16:15
VID_1_007_C02,E,21-05-2026 16:15
VID_1_007_C03,E,21-05-2026 16:15
VID_1_007_C04,E,21-05-2026 16:15
VID_1_007_C05,E,21-05-2026 16:15
VID_1_011_C00,E,21-05-2026 16:16
VID_1_016_C00,N,21-05-2026 16:19
VID_1_016_C01,N,21-05-2026 16:21
VID_1_017_C00,S,21-05-2026 16:22
VID_1_020_C00,E,21-05-2026 16:23
VID_10_001_C00,E,21-05-2026 16:24
VID_10_001_C01,E,21-05-2026 16:24
VID_10_001_C02,E,21-05-2026 16:25
VID_10_001_C03,E,21-05-2026 16:25
VID_10_001_C04,E,21-05-2026 16:25
VID_10_001_C05,E,21-05-2026 16:25
VID_10_001_C06,E,21-05-2026 16:25
VID_10_001_C07,E,21-05-2026 16:26
VID_10_001_C08,E,21-05-2026 16:29
VID_10_001_C09,E,21-05-2026 16:29
VID_10_002_C00,E,21-05-2026 16:29
VID_10_002_C01,E,21-05-2026 16:29
VID_10_002_C02,E,21-05-2026 16:29
VID_10_002_C03,E,21-05-2026 16:29
VID_10_002_C04,E,21-05-2026 16:29
VID_10_002_C05,E,21-05-2026 16:29
VID_10_002_C06,N,21-05-2026 16:30
VID_10_002_C07,N,21-05-2026 16:30
VID_10_002_C08,N,21-05-2026 16:31
VID_10_002_C09,N,21-05-2026 16:31
VID_10_003_C00,E,21-05-2026 16:31
VID_10_003_C01,E,21-05-2026 16:32
VID_10_003_C02,E,21-05-2026 16:32
VID_10_003_C03,E,21-05-2026 16:32
VID_10_003_C04,E,21-05-2026 16:32
VID_10_003_C05,E,21-05-2026 16:32
VID_10_003_C06,E,21-05-2026 16:32
VID_10_003_C07,E,21-05-2026 16:32
VID_10_003_C08,E,21-05-2026 16:32
VID_10_003_C09,E,21-05-2026 16:34
VID_10_004_C00,N,21-05-2026 16:34
VID_10_004_C01,N,21-05-2026 16:34
VID_10_004_C02,N,21-05-2026 16:35
VID_10_005_C00,E,21-05-2026 16:35
VID_10_005_C01,E,21-05-2026 16:35
VID_10_005_C02,E,21-05-2026 16:35
VID_10_005_C03,E,21-05-2026 16:35
VID_10_005_C04,E,21-05-2026 16:35
VID_10_005_C05,E,21-05-2026 16:36
VID_10_005_C06,E,21-05-2026 16:36
VID_10_005_C07,E,21-05-2026 16:36
VID_10_005_C08,E,21-05-2026 16:36
VID_10_005_C09,E,21-05-2026 16:36
VID_10_007_C00,S,21-05-2026 16:36
VID_10_007_C01,S,21-05-2026 16:37
VID_10_007_C02,E,21-05-2026 16:37
VID_10_007_C03,E,21-05-2026 16:37
VID_10_007_C04,E,21-05-2026 16:37
VID_10_007_C05,E,21-05-2026 16:37
VID_10_007_C06,E,21-05-2026 16:37
VID_10_007_C07,E,21-05-2026 16:38
VID_10_009_C00,E,21-05-2026 16:38
VID_10_009_C01,E,21-05-2026 16:38
VID_10_010_C00,E,21-05-2026 16:38
VID_10_011_C00,E,21-05-2026 16:39
VID_10_015_C00,S,21-05-2026 16:39
VID_10_015_C01,S,21-05-2026 16:39
VID_10_015_C02,S,21-05-2026 16:39
VID_10_015_C03,S,21-05-2026 16:40
VID_10_015_C04,S,21-05-2026 16:40
VID_10_015_C05,S,21-05-2026 16:40
VID_10_017_C00,E,21-05-2026 16:40
VID_10_017_C01,E,21-05-2026 16:40
VID_10_017_C02,E,21-05-2026 16:40
VID_10_017_C03,E,21-05-2026 16:40
VID_10_018_C00,S,21-05-2026 16:41
VID_10_018_C01,S,21-05-2026 16:41
VID_10_020_C00,S,21-05-2026 16:41
VID_10_021_C00,E,21-05-2026 16:41
VID_10_021_C01,E,21-05-2026 16:41
VID_10_021_C02,E,21-05-2026 16:41
VID_10_021_C03,E,21-05-2026 16:41
VID_11_001_C00,E,21-05-2026 16:41
VID_11_001_C01,E,21-05-2026 16:41
VID_11_001_C02,E,21-05-2026 16:41
VID_11_001_C03,E,21-05-2026 16:42
VID_11_001_C04,E,21-05-2026 16:43
VID_11_001_C05,E,21-05-2026 16:43
VID_11_001_C06,E,21-05-2026 16:43
VID_11_001_C07,E,21-05-2026 16:43
VID_11_001_C08,E,21-05-2026 16:43
VID_11_002_C00,E,21-05-2026 16:43
VID_11_002_C01,E,21-05-2026 16:43
VID_11_002_C02,E,21-05-2026 16:43
VID_11_002_C03,E,21-05-2026 16:44
VID_11_002_C04,E,21-05-2026 16:44
VID_11_002_C05,E,21-05-2026 16:44
VID_11_002_C06,E,21-05-2026 16:44
VID_11_003_C00,E,21-05-2026 16:44
VID_11_003_C01,E,21-05-2026 16:44
VID_11_003_C02,E,21-05-2026 16:44
VID_11_003_C03,E,21-05-2026 16:44
VID_11_003_C04,E,21-05-2026 16:45
VID_11_003_C05,E,21-05-2026 16:45
VID_11_003_C06,E,21-05-2026 16:45
VID_11_003_C07,E,21-05-2026 16:45
VID_11_003_C08,E,21-05-2026 16:45
VID_11_004_C00,E,21-05-2026 16:45
VID_11_004_C01,E,21-05-2026 16:45
VID_11_004_C02,E,21-05-2026 16:46
VID_11_004_C03,E,21-05-2026 16:46
VID_11_004_C04,E,21-05-2026 16:47
VID_11_004_C05,E,21-05-2026 16:47
VID_11_004_C06,E,21-05-2026 16:47
VID_11_004_C07,E,21-05-2026 16:47
VID_11_004_C08,E,21-05-2026 16:47
VID_11_005_C00,E,21-05-2026 16:53
VID_11_005_C01,E,21-05-2026 16:54
VID_11_005_C02,E,21-05-2026 16:54
VID_11_005_C03,E,21-05-2026 16:54
VID_11_005_C04,E,21-05-2026 16:54
VID_11_005_C05,N,21-05-2026 16:54
VID_11_005_C06,E,21-05-2026 16:56
VID_11_007_C00,N,21-05-2026 16:58
VID_11_007_C01,N,21-05-2026 16:58
VID_11_007_C02,N,21-05-2026 16:58
VID_11_007_C03,N,21-05-2026 16:58
VID_11_007_C04,N,21-05-2026 16:59
VID_11_007_C05,N,21-05-2026 16:59
VID_11_007_C06,N,21-05-2026 16:59
VID_11_007_C07,N,21-05-2026 16:59
VID_11_007_C08,N,21-05-2026 16:59
VID_11_008_C00,E,21-05-2026 16:59
VID_11_008_C01,E,21-05-2026 16:59
VID_11_008_C02,E,21-05-2026 16:59
VID_11_008_C03,E,21-05-2026 17:00
VID_11_008_C04,E,21-05-2026 17:01
VID_11_008_C05,E,21-05-2026 17:01
VID_11_008_C06,E,21-05-2026 17:01
VID_11_008_C07,E,21-05-2026 17:02
VID_12_001_C00,N,21-05-2026 17:03
VID_12_001_C01,N,21-05-2026 17:03
VID_12_001_C02,N,21-05-2026 17:03
VID_12_001_C03,N,21-05-2026 17:03
VID_12_001_C04,N,21-05-2026 17:03
VID_12_001_C05,N,21-05-2026 17:03
VID_12_001_C06,N,21-05-2026 17:03
VID_12_001_C07,N,21-05-2026 17:03
VID_12_001_C08,N,21-05-2026 17:03
VID_12_002_C00,E,21-05-2026 17:05
VID_12_002_C01,N,21-05-2026 17:06
VID_12_002_C02,N,21-05-2026 17:06
VID_12_002_C03,N,21-05-2026 17:07
VID_12_002_C04,N,21-05-2026 17:07
VID_12_002_C05,N,21-05-2026 17:07
VID_12_002_C06,N,21-05-2026 17:08
VID_12_002_C07,N,21-05-2026 17:08
VID_12_002_C08,N,21-05-2026 17:09
VID_12_003_C00,N,21-05-2026 17:10
VID_12_003_C01,N,21-05-2026 17:10
VID_12_003_C02,N,21-05-2026 17:10
VID_12_003_C03,N,21-05-2026 17:11
VID_12_003_C04,N,21-05-2026 17:11
VID_12_003_C05,N,21-05-2026 17:11
VID_12_003_C06,N,21-05-2026 17:12
VID_12_003_C07,N,21-05-2026 17:14
VID_12_003_C08,N,21-05-2026 17:14
VID_12_006_C00,S,21-05-2026 17:14
VID_12_006_C01,S,21-05-2026 17:14
VID_12_006_C02,S,21-05-2026 17:14
VID_12_006_C03,S,21-05-2026 17:14
VID_12_006_C04,S,21-05-2026 17:15
VID_12_006_C05,S,21-05-2026 17:15
VID_12_006_C06,S,21-05-2026 17:15
VID_12_006_C07,S,21-05-2026 17:16
VID_12_009_C00,E,21-05-2026 17:16
VID_12_009_C01,E,21-05-2026 17:16
VID_12_009_C02,E,21-05-2026 17:16
VID_12_009_C03,E,21-05-2026 17:16
VID_12_009_C04,E,21-05-2026 17:17
VID_12_010_C00,E,21-05-2026 17:17
VID_12_011_C00,S,21-05-2026 17:17
VID_12_011_C01,S,21-05-2026 17:17
VID_12_011_C02,S,21-05-2026 17:17
VID_12_011_C03,S,21-05-2026 17:17
VID_12_011_C04,N,21-05-2026 17:19
VID_12_011_C05,N,21-05-2026 17:19
VID_12_012_C00,S,21-05-2026 17:21
VID_12_012_C01,E,21-05-2026 17:22
VID_12_012_C02,E,21-05-2026 17:22
VID_12_017_C00,E,21-05-2026 17:22
VID_12_017_C01,E,21-05-2026 17:22
VID_12_017_C02,E,21-05-2026 17:22
VID_12_018_C00,S,21-05-2026 17:22
VID_13_001_C00,N,21-05-2026 17:22
VID_13_001_C01,N,21-05-2026 17:22
VID_13_001_C02,N,21-05-2026 17:23
VID_13_001_C03,N,21-05-2026 17:23
VID_13_001_C04,N,21-05-2026 17:23
VID_13_002_C00,N,21-05-2026 17:32
VID_13_002_C01,N,21-05-2026 17:32
VID_13_002_C02,N,21-05-2026 17:32
VID_13_003_C00,N,21-05-2026 17:37
VID_13_003_C01,N,21-05-2026 17:37
VID_13_003_C02,N,21-05-2026 17:38
VID_13_003_C03,N,21-05-2026 17:39
VID_13_003_C04,N,21-05-2026 17:39
VID_13_003_C05,N,21-05-2026 17:41
VID_13_003_C06,N,21-05-2026 17:41
