clip_id,video_id,video_file,track_id,person_id,clip_idx,n_frames,frame_paths,label
VID_1_001_C00,VID_1,VID_1.mp4,1,VID_1_001,0,8,custom_dataset\processed\VID_1\001\frame_0000.jpg;custom_dataset\processed\VID_1\001\frame_0001.jpg;custom_dataset\processed\VID_1\001\frame_0002.jpg;custom_dataset\processed\VID_1\001\frame_0003.jpg;custom_dataset\processed\VID_1\001\frame_0004.jpg;custom_dataset\processed\VID_1\001\frame_0005.jpg;custom_dataset\processed\VID_1\001\frame_0006.jpg;custom_dataset\processed\VID_1\001\frame_0007.jpg,
VID_1_001_C01,VID_1,VID_1.mp4,1,VID_1_001,1,8,custom_dataset\processed\VID_1\001\frame_0004.jpg;custom_dataset\processed\VID_1\001\frame_0005.jpg;custom_dataset\processed\VID_1\001\frame_0006.jpg;custom_dataset\processed\VID_1\001\frame_0007.jpg;custom_dataset\processed\VID_1\001\frame_0008.jpg;custom_dataset\processed\VID_1\001\frame_0009.jpg;custom_dataset\processed\VID_1\001\frame_0010.jpg;custom_dataset\processed\VID_1\001\frame_0011.jpg,
VID_1_001_C02,VID_1,VID_1.mp4,1,VID_1_001,2,8,custom_dataset\processed\VID_1\001\frame_0008.jpg;custom_dataset\processed\VID_1\001\frame_0009.jpg;custom_dataset\processed\VID_1\001\frame_0010.jpg;custom_dataset\processed\VID_1\001\frame_0011.jpg;custom_dataset\processed\VID_1\001\frame_0012.jpg;custom_dataset\processed\VID_1\001\frame_0013.jpg;custom_dataset\processed\VID_1\001\frame_0014.jpg;custom_dataset\processed\VID_1\001\frame_0015.jpg,
VID_1_001_C03,VID_1,VID_1.mp4,1,VID_1_001,3,8,custom_dataset\processed\VID_1\001\frame_0012.jpg;custom_dataset\processed\VID_1\001\frame_0013.jpg;custom_dataset\processed\VID_1\001\frame_0014.jpg;custom_dataset\processed\VID_1\001\frame_0015.jpg;custom_dataset\processed\VID_1\001\frame_0016.jpg;custom_dataset\processed\VID_1\001\frame_0017.jpg;custom_dataset\processed\VID_1\001\frame_0018.jpg;custom_dataset\processed\VID_1\001\frame_0019.jpg,
VID_1_001_C04,VID_1,VID_1.mp4,1,VID_1_001,4,8,custom_dataset\processed\VID_1\001\frame_0016.jpg;custom_dataset\processed\VID_1\001\frame_0017.jpg;custom_dataset\processed\VID_1\001\frame_0018.jpg;custom_dataset\processed\VID_1\001\frame_0019.jpg;custom_dataset\processed\VID_1\001\frame_0020.jpg;custom_dataset\processed\VID_1\001\frame_0021.jpg;custom_dataset\processed\VID_1\001\frame_0022.jpg;custom_dataset\processed\VID_1\001\frame_0023.jpg,
VID_1_001_C05,VID_1,VID_1.mp4,1,VID_1_001,5,8,custom_dataset\processed\VID_1\001\frame_0020.jpg;custom_dataset\processed\VID_1\001\frame_0021.jpg;custom_dataset\processed\VID_1\001\frame_0022.jpg;custom_dataset\processed\VID_1\001\frame_0023.jpg;custom_dataset\processed\VID_1\001\frame_0024.jpg;custom_dataset\processed\VID_1\001\frame_0025.jpg;custom_dataset\processed\VID_1\001\frame_0026.jpg;custom_dataset\processed\VID_1\001\frame_0027.jpg,
VID_1_002_C00,VID_1,VID_1.mp4,2,VID_1_002,0,8,custom_dataset\processed\VID_1\002\frame_0000.jpg;custom_dataset\processed\VID_1\002\frame_0001.jpg;custom_dataset\processed\VID_1\002\frame_0002.jpg;custom_dataset\processed\VID_1\002\frame_0003.jpg;custom_dataset\processed\VID_1\002\frame_0004.jpg;custom_dataset\processed\VID_1\002\frame_0005.jpg;custom_dataset\processed\VID_1\002\frame_0006.jpg;custom_dataset\processed\VID_1\002\frame_0007.jpg,
VID_1_002_C01,VID_1,VID_1.mp4,2,VID_1_002,1,8,custom_dataset\processed\VID_1\002\frame_0004.jpg;custom_dataset\processed\VID_1\002\frame_0005.jpg;custom_dataset\processed\VID_1\002\frame_0006.jpg;custom_dataset\processed\VID_1\002\frame_0007.jpg;custom_dataset\processed\VID_1\002\frame_0008.jpg;custom_dataset\processed\VID_1\002\frame_0009.jpg;custom_dataset\processed\VID_1\002\frame_0010.jpg;custom_dataset\processed\VID_1\002\frame_0011.jpg,
VID_1_002_C02,VID_1,VID_1.mp4,2,VID_1_002,2,8,custom_dataset\processed\VID_1\002\frame_0008.jpg;custom_dataset\processed\VID_1\002\frame_0009.jpg;custom_dataset\processed\VID_1\002\frame_0010.jpg;custom_dataset\processed\VID_1\002\frame_0011.jpg;custom_dataset\processed\VID_1\002\frame_0012.jpg;custom_dataset\processed\VID_1\002\frame_0013.jpg;custom_dataset\processed\VID_1\002\frame_0014.jpg;custom_dataset\processed\VID_1\002\frame_0015.jpg,
VID_1_002_C03,VID_1,VID_1.mp4,2,VID_1_002,3,8,custom_dataset\processed\VID_1\002\frame_0012.jpg;custom_dataset\processed\VID_1\002\frame_0013.jpg;custom_dataset\processed\VID_1\002\frame_0014.jpg;custom_dataset\processed\VID_1\002\frame_0015.jpg;custom_dataset\processed\VID_1\002\frame_0016.jpg;custom_dataset\processed\VID_1\002\frame_0017.jpg;custom_dataset\processed\VID_1\002\frame_0018.jpg;custom_dataset\processed\VID_1\002\frame_0019.jpg,
