video_id,a,b,label,n_clips,state_cos,state_close,traj_cos,dyn_corr,turn_taking,joint_active
Vid-20260421-Wa0023,1,2,N,13,0.9784,0.6676,0.9669,0.8154,0.1417,0.2920
Vid-20260421-Wa0023,1,3,N,13,0.9727,0.6371,0.9577,0.6045,0.6153,0.2903
Vid-20260421-Wa0023,1,4,C,13,0.9831,0.7006,0.9701,0.5998,0.3495,0.2720
Vid-20260421-Wa0023,1,5,C,13,0.9837,0.7078,0.9667,0.8133,0.4710,0.2836
Vid-20260421-Wa0023,1,6,C,12,0.9844,0.7120,0.9749,0.5109,0.6758,0.2937
Vid-20260421-Wa0023,1,10,N,5,0.9791,0.6699,0.9709,0.6176,0.7195,0.3614
Vid-20260421-Wa0023,2,3,N,13,0.9968,0.8556,0.9896,0.4955,0.5484,0.2575
Vid-20260421-Wa0023,2,4,N,13,0.9936,0.8016,0.9883,0.3554,0.8124,0.2214
Vid-20260421-Wa0023,2,5,N,13,0.9922,0.7632,0.9467,0.4778,0.7090,0.2181
Vid-20260421-Wa0023,2,6,N,13,0.9430,0.5178,0.9355,0.5391,0.4439,0.2905
Vid-20260421-Wa0023,2,10,N,5,0.8097,0.2981,0.8074,0.2055,0.8424,0.2593
Vid-20260421-Wa0023,3,4,N,13,0.9935,0.8002,0.9868,0.7930,0.1516,0.3181
Vid-20260421-Wa0023,3,5,N,13,0.9915,0.7607,0.9503,0.5811,0.5375,0.2603
Vid-20260421-Wa0023,3,6,N,13,0.9360,0.4995,0.9253,0.2380,0.8171,0.2848
Vid-20260421-Wa0023,3,10,N,5,0.8316,0.3208,0.8249,0.7096,0.5766,0.4000
Vid-20260421-Wa0023,4,6,C,5,0.9575,0.5670,0.9489,0.3782,0.4929,0.3622
Vid-20260421-Wa0023,6,10,N,2,0.9442,0.5174,0.5000,0.5000,0.5000,0.5000
Vid-20260421-Wa0043,1,2,N,10,0.9974,0.8653,0.9838,0.3583,0.7979,0.3623
Vid-20260421-Wa0043,1,3,N,10,0.9779,0.6635,0.9655,0.7651,0.2061,0.5020
Vid-20260421-Wa0043,2,3,N,10,0.9635,0.5876,0.9628,0.7950,0.1722,0.4936
Vid-20260421-Wa0049,1,2,C,11,0.9990,0.9170,0.9984,0.3809,0.5806,0.3512
Vid-20260421-Wa0064,1,2,C,14,0.9564,0.5657,0.9356,0.7659,0.4550,0.3552
Vid-20260421-Wa0064,1,3,C,13,0.9904,0.7624,0.9857,0.2900,0.6778,0.3352
Vid-20260421-Wa0064,1,4,C,14,0.9709,0.6232,0.9690,0.7160,0.3933,0.3881
Vid-20260421-Wa0064,1,5,C,4,0.9966,0.8509,0.9957,0.5000,0.5000,0.0000
Vid-20260421-Wa0064,2,3,C,14,0.9911,0.7713,0.9645,0.3507,0.6243,0.2068
Vid-20260421-Wa0064,2,4,C,14,0.9981,0.8802,0.9869,0.7660,0.5540,0.2789
