pair_id,label,feat_A,feat_B,video_id,frame_w,frame_h,track_id_A,track_id_B
VID_ (27)_A001_B014_f0032,N,data/collab_cache/VID_ (27)_A001_B014_f0032_A.npy,data/collab_cache/VID_ (27)_A001_B014_f0032_B.npy,VID_ (27),848,478,1,14
VID_ (28)_A002_B006_f0052_sym,C,data/collab_cache/VID_ (28)_A002_B006_f0052_B.npy,data/collab_cache/VID_ (28)_A002_B006_f0052_A.npy,VID_ (28),848,478,6,2
VID_ (8)_A004_B005_f0036_sym,N,data/collab_cache/VID_ (8)_A004_B005_f0036_B.npy,data/collab_cache/VID_ (8)_A004_B005_f0036_A.npy,VID_ (8),848,480,5,4
VID_ (8)_A002_B005_f0044_sym,N,data/collab_cache/VID_ (8)_A002_B005_f0044_B.npy,data/collab_cache/VID_ (8)_A002_B005_f0044_A.npy,VID_ (8),848,480,5,2
VID_ (7)_A005_B011_f0016_sym,C,data/collab_cache/VID_ (7)_A005_B011_f0016_B.npy,data/collab_cache/VID_ (7)_A005_B011_f0016_A.npy,VID_ (7),848,480,11,5
Vid-20260421-Wa0064_A002_B003_f0044_sym,C,data/collab_cache/Vid-20260421-Wa0064_A002_B003_f0044_B.npy,data/collab_cache/Vid-20260421-Wa0064_A002_B003_f0044_A.npy,Vid-20260421-Wa0064,848,480,3,2
VID_ (6)_A001_B005_f0016_sym,N,data/collab_cache/VID_ (6)_A001_B005_f0016_B.npy,data/collab_cache/VID_ (6)_A001_B005_f0016_A.npy,VID_ (6),848,480,5,1
Vid-20260421-Wa0049_A001_B002_f0000,C,data/collab_cache/Vid-20260421-Wa0049_A001_B002_f0000_A.npy,data/collab_cache/Vid-20260421-Wa0049_A001_B002_f0000_B.npy,Vid-20260421-Wa0049,848,480,1,2
VID_ (21)_A003_B004_f0008_sym,C,data/collab_cache/VID_ (21)_A003_B004_f0008_B.npy,data/collab_cache/VID_ (21)_A003_B004_f0008_A.npy,VID_ (21),848,480,4,3
VID_ (8)_A003_B006_f0000_sym,N,data/collab_cache/VID_ (8)_A003_B006_f0000_B.npy,data/collab_cache/VID_ (8)_A003_B006_f0000_A.npy,VID_ (8),848,480,6,3
VID_ (27)_A003_B008_f0004,N,data/collab_cache/VID_ (27)_A003_B008_f0004_A.npy,data/collab_cache/VID_ (27)_A003_B008_f0004_B.npy,VID_ (27),848,478,3,8
VID_ (21)_A001_B004_f0004,C,data/collab_cache/VID_ (21)_A001_B004_f0004_A.npy,data/collab_cache/VID_ (21)_A001_B004_f0004_B.npy,VID_ (21),848,480,1,4
VID_ (16)_A001_B002_f0040_sym,C,data/collab_cache/VID_ (16)_A001_B002_f0040_B.npy,data/collab_cache/VID_ (16)_A001_B002_f0040_A.npy,VID_ (16),848,480,2,1
VID_ (27)_A001_B018_f0052_sym,N,data/collab_cache/VID_ (27)_A001_B018_f0052_B.npy,data/collab_cache/VID_ (27)_A001_B018_f0052_A.npy,VID_ (27),848,478,18,1
VID_ (6)_A002_B006_f0000,N,data/collab_cache/VID_ (6)_A002_B006_f0000_A.npy,data/collab_cache/VID_ (6)_A002_B006_f0000_B.npy,VID_ (6),848,480,2,6
VID_ (27)_A013_B002_f0049_sym,N,data/collab_cache/VID_ (27)_A013_B002_f0049_B.npy,data/collab_cache/VID_ (27)_A013_B002_f0049_A.npy,VID_ (27),848,478,2,13
VID_ (6)_A002_B004_f0024,N,data/collab_cache/VID_ (6)_A002_B004_f0024_A.npy,data/collab_cache/VID_ (6)_A002_B004_f0024_B.npy,VID_ (6),848,480,2,4
VID_ (27)_A005_B013_f0052,N,data/collab_cache/VID_ (27)_A005_B013_f0052_A.npy,data/collab_cache/VID_ (27)_A005_B013_f0052_B.npy,VID_ (27),848,478,5,13
VID_ (21)_A002_B004_f0000_sym,C,data/collab_cache/VID_ (21)_A002_B004_f0000_B.npy,data/collab_cache/VID_ (21)_A002_B004_f0000_A.npy,VID_ (21),848,480,4,2
VID_ (27)_A003_B006_f0012_sym,N,data/collab_cache/VID_ (27)_A003_B006_f0012_B.npy,data/collab_cache/VID_ (27)_A003_B006_f0012_A.npy,VID_ (27),848,478,6,3
VID_ (27)_A002_B003_f0000_sym,N,data/collab_cache/VID_ (27)_A002_B003_f0000_B.npy,data/collab_cache/VID_ (27)_A002_B003_f0000_A.npy,VID_ (27),848,478,3,2
VID_ (3)_A002_B006_f0008,C,data/collab_cache/VID_ (3)_A002_B006_f0008_A.npy,data/collab_cache/VID_ (3)_A002_B006_f0008_B.npy,VID_ (3),848,480,2,6
VID_ (30)_A014_B002_f0041_sym,N,data/collab_cache/VID_ (30)_A014_B002_f0041_B.npy,data/collab_cache/VID_ (30)_A014_B002_f0041_A.npy,VID_ (30),848,478,2,14
VID_ (7)_A005_B009_f0008_sym,C,data/collab_cache/VID_ (7)_A005_B009_f0008_B.npy,data/collab_cache/VID_ (7)_A005_B009_f0008_A.npy,VID_ (7),848,480,9,5
VID_ (27)_A006_B013_f0044_sym,N,data/collab_cache/VID_ (27)_A006_B013_f0044_B.npy,data/collab_cache/VID_ (27)_A006_B013_f0044_A.npy,VID_ (27),848,478,13,6
VID_ (30)_A003_B018_f0048_sym,N,data/collab_cache/VID_ (30)_A003_B018_f0048_B.npy,data/collab_cache/VID_ (30)_A003_B018_f0048_A.npy,VID_ (30),848,478,18,3
