video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),1,0,0,47.98,-13.23,-25.76,1
VID_ (1),1,0,1,50.33,-13.6,-26.61,1
VID_ (1),1,0,2,53.63,-16.32,-27.24,1
VID_ (1),1,0,3,48.57,-15.04,-24.28,1
VID_ (1),1,0,4,48.67,-10.7,-16.57,1
VID_ (1),1,0,5,47.95,-11.34,-20.23,1
VID_ (1),1,0,6,47.89,-11.06,-23.33,1
VID_ (1),1,0,7,60.85,-24.06,-31.42,1
VID_ (1),1,1,0,48.67,-10.7,-16.57,1
VID_ (1),1,1,1,47.95,-11.34,-20.23,1
VID_ (1),1,1,2,47.89,-11.06,-23.33,1
VID_ (1),1,1,3,60.85,-24.06,-31.42,1
VID_ (1),1,1,4,54.38,-18.38,-31.5,1
VID_ (1),1,1,5,,,,0
VID_ (1),1,1,6,,,,0
VID_ (1),1,1,7,51.49,-18.91,-34.71,1
VID_ (1),1,2,0,54.38,-18.38,-31.5,1
VID_ (1),1,2,1,,,,0
VID_ (1),1,2,2,,,,0
VID_ (1),1,2,3,51.49,-18.91,-34.71,1
VID_ (1),1,2,4,,,,0
VID_ (1),1,2,5,65.36,-41.59,-50.64,1
VID_ (1),1,2,6,65.08,-35.66,-45.36,1
VID_ (1),1,2,7,,,,0
VID_ (1),1,3,0,,,,0
VID_ (1),1,3,1,65.36,-41.59,-50.64,1
VID_ (1),1,3,2,65.08,-35.66,-45.36,1
VID_ (1),1,3,3,,,,0
VID_ (1),1,3,4,63.98,-28.11,-35.5,1
VID_ (1),1,3,5,68.12,-32.94,-40.28,1
VID_ (1),1,3,6,63.97,-28.84,-35.63,1
VID_ (1),1,3,7,68.3,-49.6,-52.55,1
VID_ (1),1,4,0,63.98,-28.11,-35.5,1
VID_ (1),1,4,1,68.12,-32.94,-40.28,1
VID_ (1),1,4,2,63.97,-28.84,-35.63,1
VID_ (1),1,4,3,68.3,-49.6,-52.55,1
VID_ (1),1,4,4,71.05,-44.91,-50.45,1
VID_ (1),1,4,5,69.82,-44.86,-51.6,1
VID_ (1),1,4,6,63.89,-37.33,-46.01,1
